# {"t_start": 1562337504.3660805, "env_id": "EVCharging-v2"} 
r,l,t
-0.719859,17,103.717586
-0.753959,13,103.773269
-0.745638,15,103.84523
-0.773977,13,104.321472
-0.885688,16,104.371748
-0.847719,14,104.415306
-0.896979,14,104.458811
-0.729785,15,104.504322
-0.853566,16,104.555991
-0.59098,15,104.993462
-0.250271,15,105.043086
-0.869659,14,105.086315
-0.679485,13,105.131073
-0.588862,13,105.172962
-0.912112,16,105.220408
0.051724,15,105.265843
-0.586012,14,105.913366
-1.907364,14,105.986207
-1.01891,15,106.069496
-3.267462,14,106.168494
-4.07913,13,106.245105
-2.180987,15,106.331361
-0.703317,16,106.428439
-0.557122,11,106.488902
-0.720279,14,107.110788
-0.588626,13,107.183317
-0.632737,13,107.257381
-0.633124,14,107.330185
-0.227791,13,107.399059
-0.620801,16,107.476812
-0.923713,15,107.542015
-0.500916,15,108.097082
-0.581234,14,108.14948
-0.593238,13,108.195082
-0.573365,12,108.237522
-1.564498,14,108.28457
-0.729813,18,108.346511
-0.66787,15,108.429392
-1.172535,13,109.39818
-1.108126,16,109.50557
-1.183546,13,109.592664
-1.044934,16,109.731858
-0.968895,13,109.823962
-0.959065,16,109.930945
-1.011746,12,110.00267
-0.75637,15,110.840157
-1.122906,14,110.903761
-1.183384,15,110.958326
-0.931342,13,111.007293
-1.117757,14,111.065135
-1.152893,13,111.114864
-1.095523,15,111.171112
-0.894016,16,111.987983
-0.805753,15,112.0914
-0.895685,15,112.170522
-0.694399,13,112.240011
-0.891888,15,112.313824
-0.7754,13,112.378656
-0.972457,14,112.475769
-1.023886,15,113.214945
-0.770915,14,113.285775
-1.041956,14,113.358232
-0.780316,16,113.456235
-0.842886,16,113.553852
-0.97041,13,113.647813
-1.031863,12,113.722119
-1.168867,15,114.445067
-0.995929,13,114.512421
-1.041803,14,114.605356
-0.924016,14,114.713421
-1.208632,15,114.834304
-1.038826,13,114.921703
-1.218302,15,115.04684
-0.952907,15,116.247509
-0.914113,14,116.360417
-0.993072,14,116.469928
-0.832017,14,116.553251
-1.030356,17,116.704042
-0.818095,12,116.796662
-0.952362,17,116.88814
-0.895847,15,117.780263
-1.021856,14,117.826684
-0.927468,13,117.872888
-0.903058,13,117.917834
-0.853641,14,117.969875
-0.924323,12,118.014364
-1.046302,11,118.056894
-0.894223,13,118.565387
-0.976481,16,118.618574
-0.838023,16,118.674409
-0.796423,14,118.721292
-0.752726,13,118.766747
-0.754849,16,118.854581
-0.756736,14,118.933908
-0.845894,14,119.923573
-0.76681,14,120.06144
-0.797115,14,120.172253
-0.801634,11,120.30344
-0.725855,13,120.382183
-0.820087,14,120.449322
-0.743057,12,120.504489
-0.807455,17,121.0606
-0.707136,13,121.105749
-0.82554,16,121.160545
-0.610138,13,121.211545
-0.767492,15,121.262647
-0.901888,12,121.30547
-0.512792,14,121.366841
-0.565886,15,121.550114
-0.733756,15,122.738909
-0.696078,10,122.845046
-0.950042,10,122.919128
-0.717908,12,123.005248
-0.809441,11,123.076264
-0.679703,13,123.158659
-0.73627,15,123.27571
-0.637382,12,123.346426
-0.466222,13,123.992801
-0.438531,14,124.05346
-0.635857,15,124.169861
-0.393476,15,124.257561
-0.65008,15,124.371862
-0.570043,13,124.454666
-0.573432,10,124.52039
-0.410963,12,125.261997
-0.599518,13,125.312601
-0.451229,15,125.361852
-0.379299,14,125.405658
-0.12177,13,125.446044
-0.363904,15,125.491342
-0.266071,14,125.534455
-0.819092,14,125.951162
-0.474527,14,125.995319
-0.973828,15,126.040987
-0.792594,15,126.086688
-0.874475,14,126.130463
-0.934966,15,126.175454
-0.932655,15,126.220737
-0.75184,14,126.618396
-0.801923,12,126.681349
-0.533059,14,126.724671
-0.403984,13,126.765069
-0.725791,17,126.815192
-0.603556,12,126.856207
-0.794179,17,126.906574
-1.075949,12,127.293122
-0.628488,12,127.332371
-0.878869,17,127.383111
-0.790181,14,127.425933
-0.878348,15,127.471294
-0.866156,14,127.514415
-0.824854,13,127.554441
-1.050799,15,127.967525
-0.528962,13,128.008187
-0.704921,14,128.051799
-0.749854,14,128.095077
-0.59441,12,128.133803
-0.508351,13,128.173742
-0.550273,15,128.221598
-0.567219,17,128.272978
-1.012974,12,128.641954
-1.007587,14,128.684749
-0.885421,13,128.724957
-0.903004,14,128.767405
-0.965951,12,128.805345
-0.926056,16,128.854016
-0.992025,12,128.89204
-0.669903,16,129.280632
-0.649602,13,129.321815
-0.680203,15,129.367125
-0.689807,15,129.412353
-0.669514,15,129.457157
-0.713569,15,129.502222
-0.533824,15,129.547739
-0.739325,12,129.958214
-0.775409,13,130.012421
-0.691926,14,130.078234
-0.799553,15,130.130735
-0.050164,16,130.179354
-0.734419,14,130.222506
-0.731992,13,130.263695
-1.033065,13,130.661373
-1.059889,13,130.702191
-0.980284,13,130.742695
-1.223782,15,130.788693
-1.106549,17,130.839426
-1.016621,12,130.877253
-0.930896,14,130.920802
-0.744193,13,131.296989
-0.467325,14,131.34535
-0.762565,13,131.399287
-0.511068,12,131.445473
-0.523128,15,131.493297
-0.616382,14,131.536676
-0.656267,12,131.574395
-0.422553,17,131.987937
-0.126407,13,132.056203
-0.397827,13,132.098285
-0.386212,14,132.142695
-0.209515,14,132.185245
-0.326326,11,132.220926
-0.209819,12,132.262834
-0.49526,14,132.308373
-0.513186,15,132.772886
-0.753858,14,132.829073
-0.588406,14,132.881774
-0.838395,10,132.916816
-0.862441,16,132.965551
-0.097665,15,133.011017
-0.296011,13,133.053911
-0.63382,12,133.503212
-0.635738,14,133.555062
-0.776835,13,133.598672
-0.707552,12,133.649632
-0.669838,12,133.693766
-0.672217,14,133.749274
-0.895643,13,133.799815
-0.626077,11,133.843731
-0.697253,14,134.258947
-0.606214,12,134.299039
-0.829305,13,134.341323
-0.614999,13,134.381633
-0.560384,13,134.421888
-0.535464,11,134.456702
-0.526385,12,134.494524
-0.560779,16,134.543753
-0.696661,13,134.931508
-0.763841,13,134.97473
-0.572099,15,135.023571
-0.905919,14,135.069342
-0.744396,11,135.106102
-0.762902,16,135.154416
-0.658718,14,135.197739
-0.833023,13,135.636376
-0.923527,13,135.684416
-0.9359,14,135.739474
-0.933146,13,135.787561
-0.801187,13,135.835681
-0.592601,14,135.888947
-0.821532,14,135.938409
-0.712066,12,135.979528
-0.699768,15,136.438929
-0.840129,13,136.479358
-0.065551,15,136.524917
-0.466391,15,136.569522
-0.664307,15,136.617245
-0.602187,14,136.660748
-0.336908,12,136.699363
-0.860268,16,137.099206
-0.562269,15,137.144866
-0.459681,12,137.182518
-0.504957,13,137.223129
-0.647654,14,137.273454
-0.834889,12,137.314584
-0.703749,16,137.363733
-0.891911,15,137.756789
-0.813151,15,137.802276
-0.874936,14,137.846449
-0.673857,13,137.886653
-0.643804,15,137.932356
-0.588294,12,137.969667
-0.821133,13,138.010882
-0.905917,13,138.407315
-0.964422,13,138.447574
-0.93122,14,138.490361
-0.980633,13,138.531814
-0.864056,13,138.572419
-0.501856,15,138.617496
-1.020323,15,138.663606
-0.864379,13,138.703589
-0.451463,13,139.089285
-0.48641,14,139.132024
-0.29122,14,139.174751
-0.513739,17,139.22693
-0.441971,10,139.260195
-0.576882,13,139.300572
-0.573395,14,139.346687
-0.225368,12,139.763481
-0.423971,14,139.807394
-0.670185,15,139.854043
-0.780968,11,139.889117
-0.679118,15,139.934416
-0.661527,15,139.979399
-0.696124,14,140.022729
-0.28483,14,140.412384
-0.613834,15,140.458098
-0.447075,14,140.501037
-0.607154,12,140.539295
-0.354946,14,140.582618
-0.423818,13,140.624395
-0.474326,12,140.662254
-0.690139,15,140.707574
-0.460391,15,141.098216
-0.303762,16,141.146724
-0.343415,14,141.189554
-0.444466,15,141.235233
-0.241345,12,141.272923
-0.392834,14,141.315624
-0.454999,12,141.354156
-0.407684,16,141.748708
-0.296671,14,141.791605
-0.29935,15,141.838298
-0.572973,14,141.880929
-0.129211,14,141.923589
-0.404765,14,141.966309
-0.356342,14,142.009192
-0.861727,13,142.409003
-0.897451,14,142.510497
-0.822588,14,142.554009
-0.819744,15,142.599385
-0.940447,13,142.640051
-0.712387,15,142.685188
-0.720591,13,142.726002
-0.744475,12,143.114253
-0.629519,12,143.152422
-0.840153,16,143.200434
-0.855785,18,143.252972
-0.684447,14,143.295881
-0.885866,16,143.344392
-0.823566,14,143.387113
-0.916761,12,143.762324
-0.714481,15,143.807776
-0.853399,17,143.85935
-0.886753,15,143.904425
-0.894398,15,143.949862
-0.860163,13,143.99005
-0.92295,11,144.025792
-1.148111,14,144.413399
-0.976809,13,144.453538
-1.057789,14,144.496376
-0.941487,12,144.535994
-0.947065,13,144.576994
-1.14124,14,144.619719
-0.96395,16,144.667475
-0.695247,13,145.073354
-0.590591,12,145.111858
-0.51612,14,145.155162
-0.728915,14,145.198578
